overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime
5,TRUE,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR5G,jami,"Fit perfectly. I bought dark grey, and they didn't fade",Five Stars,1492041600
3,TRUE,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR5G,jami,They fit great. But they fade bad,Three Stars,1492041600
4,TRUE,"04 5, 2017",A3T8NHQYBQSV1X,B000YFSR5G,Mark,I only give four stars because the pants have no pockets.,Four Stars,1491350400
3,TRUE,"03 24, 2017",A1G0HYMR02WM2W,B000YFSR5G,Cici Ciconia,Average product.  As described.,Three Stars,1490313600
5,TRUE,"02 8, 2018",AGZ5OOZVDO194,B000YFSR4W,Amazon Customer,Comfortable,Five Stars,1518048000
5,TRUE,"03 11, 2017",A2BFZUQ2XV535H,B000YFSR5G,Amazon Customer,comfy fit,Five Stars,1489190400
2,TRUE,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR5G,Sammy C.,Nice pants but too small for a medium. Return it.,Returned also,1487635200
2,TRUE,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR5G,Sammy C.,Nice pants but too small for a medium. Returned it.,Returned,1487635200
4,TRUE,"02 21, 2017",A1Y01U6OZLZE7I,B000YFSR5G,Heather Devine,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",Comfy and warm.,1487635200
1,TRUE,"02 8, 2017",A21HH0VIBKK80J,B000YFSR5G,Sondra McDonald,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",1486512000
3,TRUE,"02 1, 2017",A1G0HYMR02WM2W,B000YFSR5G,Cici Ciconia,As described.,Three Stars,1485907200
5,TRUE,"01 23, 2017",A2BFZUQ2XV535H,B000YFSR5G,Amazon Customer,Very comfy for wearing at home.,Five Stars,1485129600
5,TRUE,"03 8, 2016",A3E30OLSMGJEVK,B000YFSR5G,ladybug,So comfortable and soft.,Hanes pants,1457395200
2,TRUE,"10 26, 2015",A26TEJJ6YOGWMZ,B000YFSR5G,Henry A.,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",1445817600
3,TRUE,"06 11, 2015",A2J9WEIRNVTX61,B000YFSR5G,Wildcat,"No pockets and huge, the bottom of the pants go over shoes",large with no pockets,1433980800
4,TRUE,"05 24, 2015",A2UUEV4MYOJY66,B000YFSR5G,Fix-it Man,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,Fleece Pants,1432425600
5,TRUE,"03 8, 2016",A3E30OLSMGJEVK,B000YFSR5G,ladybug,So comfortable and soft.,Hanes pants,1457395200
2,TRUE,"10 26, 2015",A26TEJJ6YOGWMZ,B000YFSR5G,Henry A.,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",1445817600
3,TRUE,"06 11, 2015",A2J9WEIRNVTX61,B000YFSR5G,Wildcat,"No pockets and huge, the bottom of the pants go over shoes",large with no pockets,1433980800
4,TRUE,"05 24, 2015",A2UUEV4MYOJY66,B000YFSR5G,Fix-it Man,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,Fleece Pants,1432425600
5,TRUE,"02 4, 2015",A36GNVEQP92OPA,B000YFSR5G,Peter B. Thorp,"Love 'em, just the plain no frills no pockets not too heavy good ol sweatpants.",Five Stars,1423008000
5,TRUE,"10 25, 2017",A232J1FHOQI5YN,B000YFSR4W,Louis Robbio,Good product for the price.  Used very day and no problem.,Five Stars,1508889600
5,TRUE,"10 14, 2017",A2ON4RYI9Z4SQ,B000YFSR4W,Fhteacher,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Good fit,1507939200
4,TRUE,"07 1, 2010",A3GJ3DJU1RXOHN,B000YFSR5G,JCW,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,1277942400
5,TRUE,"07 30, 2017",A232J1FHOQI5YN,B000YFSR4W,Louis Robbio,Excellent value.  Comfortable.,Excellent Product,1501372800
5,TRUE,"06 16, 2017",A1EZN3E9R322YJ,B000YFSR4W,wayne ereira,"Typical Hanes quality. Good weight, sized just right, made pretty well",Typical Quality,1497571200
3,TRUE,"04 18, 2017",A3T8NHQYBQSV1X,B000YFSR4W,Mark,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",Don't sweat the pants,1492473600
5,TRUE,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR4W,jami,"Fit perfectly. I bought dark grey, and they didn't fade",Five Stars,1492041600
3,TRUE,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR4W,jami,They fit great. But they fade bad,Three Stars,1492041600
4,TRUE,"04 5, 2017",A3T8NHQYBQSV1X,B000YFSR4W,Mark,I only give four stars because the pants have no pockets.,Four Stars,1491350400
3,TRUE,"03 24, 2017",A1G0HYMR02WM2W,B000YFSR4W,Cici Ciconia,Average product.  As described.,Three Stars,1490313600
5,TRUE,"03 11, 2017",A2BFZUQ2XV535H,B000YFSR4W,Amazon Customer,comfy fit,Five Stars,1489190400
2,TRUE,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR4W,Sammy C.,Nice pants but too small for a medium. Return it.,Returned also,1487635200
2,TRUE,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR4W,Sammy C.,Nice pants but too small for a medium. Returned it.,Returned,1487635200
4,TRUE,"02 21, 2017",A1Y01U6OZLZE7I,B000YFSR4W,Heather Devine,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",Comfy and warm.,1487635200
1,TRUE,"02 8, 2017",A21HH0VIBKK80J,B000YFSR4W,Sondra McDonald,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",1486512000
3,TRUE,"02 1, 2017",A1G0HYMR02WM2W,B000YFSR4W,Cici Ciconia,As described.,Three Stars,1485907200
5,TRUE,"07 22, 2015",A3CNRM11BHAR1A,B0012DR1LU,DD,Havaiana's are THE BEST!!!,Five Stars,1437523200
5,TRUE,"08 6, 2014",A3CNRM11BHAR1A,B0012DR1LU,DD,Perfect color!,I love Havaianas!,1407283200
1,TRUE,"02 19, 2018",A276HQXYS553QW,B0014F8TIU,AvidShopper,Should have listened to other reviews. The elastics does not hold up.,One Star,1518998400
1,TRUE,"02 19, 2018",A276HQXYS553QW,B0014F8TIU,AvidShopper,Constantly rolls down,One Star,1518998400
5,TRUE,"09 26, 2017",A3BN0MRGRDKM0J,B0014F8TIU,j.morris,Superrrr thigh high. Im 54 and it easily reaches 3/4 up my thigh!!,Great!!! Very high!,1506384000
4,TRUE,"10 31, 2015",A276HQXYS553QW,B0014F8TIU,AvidShopper,I just wish they would not roll down.,Cute but will roll,1446249600
4,TRUE,"01 29, 2016",A3HX4X3TIABWOV,B0014HA6VG,Denise A. Conte,"Sadly, not a true red. It's definitely orange",Four Stars,1454025600
5,TRUE,"01 22, 2016",A3HX4X3TIABWOV,B0014HA6VG,Denise A. Conte,"Well made, soft, thick & so very colorful. Bought the just as gorgeous rich, red Fireman's scarf, too. My little fella is quite the fashion plate! And toasty, too!","Well made, soft, thick & so very colorful ...",1453420800
3,TRUE,"07 12, 2015",A1Z8U8IPBLBEU5,B0017LD0BM,Seth Hanson,Not pretty for fashion but great around the house and work.,Three Stars,1436659200
2,TRUE,"05 21, 2015",A36GNVEQP92OPA,B0017LD0BM,Peter B. Thorp,"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",Huh,1432166400
4,TRUE,"12 29, 2014",A33GD4H5O1MK6S,B0017LD0BM,phil bensinger,Excellent value,excellent value and quality,1419811200
3,TRUE,"12 14, 2012",A12DWXDNZQTKXQ,B0017LD0BM,TDL Chicago,"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",loose screws,1355443200
4,TRUE,"12 25, 2009",A2VR6SWVSF6K4,B0017LD0BM,C. Schmitt,"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",Good Value,1261699200
3,TRUE,"07 12, 2015",A1Z8U8IPBLBEU5,B0017LGD34,Seth Hanson,Not pretty for fashion but great around the house and work.,Three Stars,1436659200
2,TRUE,"05 21, 2015",A36GNVEQP92OPA,B0017LGD34,Peter B. Thorp,"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",Huh,1432166400
4,TRUE,"12 29, 2014",A33GD4H5O1MK6S,B0017LGD34,phil bensinger,Excellent value,excellent value and quality,1419811200
3,TRUE,"12 14, 2012",A12DWXDNZQTKXQ,B0017LGD34,TDL Chicago,"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",loose screws,1355443200
4,TRUE,"12 25, 2009",A2VR6SWVSF6K4,B0017LGD34,C. Schmitt,"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",Good Value,1261699200
1,TRUE,"03 12, 2018",A3QY3THQ42WSCQ,B000YFSR5G,Amazon Customer,Waaaay too BIG,One Star,1520812800
5,TRUE,"02 8, 2018",AGZ5OOZVDO194,B000YFSR5G,Amazon Customer,Comfortable,Five Stars,1518048000
4,TRUE,"07 1, 2010",A3GJ3DJU1RXOHN,B000YFSR4W,JCW,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,1277942400
5,TRUE,"10 25, 2017",A232J1FHOQI5YN,B000YFSR5G,Louis Robbio,Good product for the price.  Used very day and no problem.,Five Stars,1508889600
5,TRUE,"10 14, 2017",A2ON4RYI9Z4SQ,B000YFSR5G,Fhteacher,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Good fit,1507939200
1,TRUE,"03 12, 2018",A3QY3THQ42WSCQ,B000YFSR4W,Amazon Customer,Waaaay too BIG,One Star,1520812800
5,TRUE,"07 30, 2017",A232J1FHOQI5YN,B000YFSR5G,Louis Robbio,Excellent value.  Comfortable.,Excellent Product,1501372800
5,TRUE,"06 16, 2017",A1EZN3E9R322YJ,B000YFSR5G,wayne ereira,"Typical Hanes quality. Good weight, sized just right, made pretty well",Typical Quality,1497571200
3,TRUE,"04 18, 2017",A3T8NHQYBQSV1X,B000YFSR5G,Mark,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",Don't sweat the pants,1492473600
5,TRUE,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR5G,jami,"Fit perfectly. I bought dark grey, and they didn't fade",Five Stars,1492041600
3,TRUE,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR5G,jami,They fit great. But they fade bad,Three Stars,1492041600
4,TRUE,"04 5, 2017",A3T8NHQYBQSV1X,B000YFSR5G,Mark,I only give four stars because the pants have no pockets.,Four Stars,1491350400
3,TRUE,"03 24, 2017",A1G0HYMR02WM2W,B000YFSR5G,Cici Ciconia,Average product.  As described.,Three Stars,1490313600
5,TRUE,"02 8, 2018",AGZ5OOZVDO194,B000YFSR4W,Amazon Customer,Comfortable,Five Stars,1518048000
5,TRUE,"03 11, 2017",A2BFZUQ2XV535H,B000YFSR5G,Amazon Customer,comfy fit,Five Stars,1489190400
2,TRUE,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR5G,Sammy C.,Nice pants but too small for a medium. Return it.,Returned also,1487635200
2,TRUE,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR5G,Sammy C.,Nice pants but too small for a medium. Returned it.,Returned,1487635200
4,TRUE,"02 21, 2017",A1Y01U6OZLZE7I,B000YFSR5G,Heather Devine,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",Comfy and warm.,1487635200
1,TRUE,"02 8, 2017",A21HH0VIBKK80J,B000YFSR5G,Sondra McDonald,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",1486512000
3,TRUE,"02 1, 2017",A1G0HYMR02WM2W,B000YFSR5G,Cici Ciconia,As described.,Three Stars,1485907200
5,TRUE,"01 23, 2017",A2BFZUQ2XV535H,B000YFSR5G,Amazon Customer,Very comfy for wearing at home.,Five Stars,1485129600
5,TRUE,"03 8, 2016",A3E30OLSMGJEVK,B000YFSR5G,ladybug,So comfortable and soft.,Hanes pants,1457395200
2,TRUE,"10 26, 2015",A26TEJJ6YOGWMZ,B000YFSR5G,Henry A.,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",1445817600
3,TRUE,"06 11, 2015",A2J9WEIRNVTX61,B000YFSR5G,Wildcat,"No pockets and huge, the bottom of the pants go over shoes",large with no pockets,1433980800
4,TRUE,"05 24, 2015",A2UUEV4MYOJY66,B000YFSR5G,Fix-it Man,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,Fleece Pants,1432425600
5,TRUE,"03 8, 2016",A3E30OLSMGJEVK,B000YFSR5G,ladybug,So comfortable and soft.,Hanes pants,1457395200
2,TRUE,"10 26, 2015",A26TEJJ6YOGWMZ,B000YFSR5G,Henry A.,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",1445817600
3,TRUE,"06 11, 2015",A2J9WEIRNVTX61,B000YFSR5G,Wildcat,"No pockets and huge, the bottom of the pants go over shoes",large with no pockets,1433980800
4,TRUE,"05 24, 2015",A2UUEV4MYOJY66,B000YFSR5G,Fix-it Man,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,Fleece Pants,1432425600
5,TRUE,"02 4, 2015",A36GNVEQP92OPA,B000YFSR5G,Peter B. Thorp,"Love 'em, just the plain no frills no pockets not too heavy good ol sweatpants.",Five Stars,1423008000
5,TRUE,"10 25, 2017",A232J1FHOQI5YN,B000YFSR4W,Louis Robbio,Good product for the price.  Used very day and no problem.,Five Stars,1508889600
5,TRUE,"10 14, 2017",A2ON4RYI9Z4SQ,B000YFSR4W,Fhteacher,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Good fit,1507939200
4,TRUE,"07 1, 2010",A3GJ3DJU1RXOHN,B000YFSR5G,JCW,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,1277942400
5,TRUE,"07 30, 2017",A232J1FHOQI5YN,B000YFSR4W,Louis Robbio,Excellent value.  Comfortable.,Excellent Product,1501372800
5,TRUE,"06 16, 2017",A1EZN3E9R322YJ,B000YFSR4W,wayne ereira,"Typical Hanes quality. Good weight, sized just right, made pretty well",Typical Quality,1497571200
3,TRUE,"04 18, 2017",A3T8NHQYBQSV1X,B000YFSR4W,Mark,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",Don't sweat the pants,1492473600
5,TRUE,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR4W,jami,"Fit perfectly. I bought dark grey, and they didn't fade",Five Stars,1492041600
3,TRUE,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR4W,jami,They fit great. But they fade bad,Three Stars,1492041600
4,TRUE,"04 5, 2017",A3T8NHQYBQSV1X,B000YFSR4W,Mark,I only give four stars because the pants have no pockets.,Four Stars,1491350400
3,TRUE,"03 24, 2017",A1G0HYMR02WM2W,B000YFSR4W,Cici Ciconia,Average product.  As described.,Three Stars,1490313600
5,TRUE,"03 11, 2017",A2BFZUQ2XV535H,B000YFSR4W,Amazon Customer,comfy fit,Five Stars,1489190400
2,TRUE,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR4W,Sammy C.,Nice pants but too small for a medium. Return it.,Returned also,1487635200
2,TRUE,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR4W,Sammy C.,Nice pants but too small for a medium. Returned it.,Returned,1487635200
4,TRUE,"02 21, 2017",A1Y01U6OZLZE7I,B000YFSR4W,Heather Devine,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",Comfy and warm.,1487635200
1,TRUE,"02 8, 2017",A21HH0VIBKK80J,B000YFSR4W,Sondra McDonald,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",1486512000
3,TRUE,"02 1, 2017",A1G0HYMR02WM2W,B000YFSR4W,Cici Ciconia,As described.,Three Stars,1485907200
5,TRUE,"07 22, 2015",A3CNRM11BHAR1A,B0012DR1LU,DD,Havaiana's are THE BEST!!!,Five Stars,1437523200
5,TRUE,"08 6, 2014",A3CNRM11BHAR1A,B0012DR1LU,DD,Perfect color!,I love Havaianas!,1407283200
1,TRUE,"02 19, 2018",A276HQXYS553QW,B0014F8TIU,AvidShopper,Should have listened to other reviews. The elastics does not hold up.,One Star,1518998400
1,TRUE,"02 19, 2018",A276HQXYS553QW,B0014F8TIU,AvidShopper,Constantly rolls down,One Star,1518998400
5,TRUE,"09 26, 2017",A3BN0MRGRDKM0J,B0014F8TIU,j.morris,Superrrr thigh high. Im 54 and it easily reaches 3/4 up my thigh!!,Great!!! Very high!,1506384000
4,TRUE,"10 31, 2015",A276HQXYS553QW,B0014F8TIU,AvidShopper,I just wish they would not roll down.,Cute but will roll,1446249600
4,TRUE,"01 29, 2016",A3HX4X3TIABWOV,B0014HA6VG,Denise A. Conte,"Sadly, not a true red. It's definitely orange",Four Stars,1454025600
5,TRUE,"01 22, 2016",A3HX4X3TIABWOV,B0014HA6VG,Denise A. Conte,"Well made, soft, thick & so very colorful. Bought the just as gorgeous rich, red Fireman's scarf, too. My little fella is quite the fashion plate! And toasty, too!","Well made, soft, thick & so very colorful ...",1453420800
3,TRUE,"07 12, 2015",A1Z8U8IPBLBEU5,B0017LD0BM,Seth Hanson,Not pretty for fashion but great around the house and work.,Three Stars,1436659200
2,TRUE,"05 21, 2015",A36GNVEQP92OPA,B0017LD0BM,Peter B. Thorp,"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",Huh,1432166400
4,TRUE,"12 29, 2014",A33GD4H5O1MK6S,B0017LD0BM,phil bensinger,Excellent value,excellent value and quality,1419811200
3,TRUE,"12 14, 2012",A12DWXDNZQTKXQ,B0017LD0BM,TDL Chicago,"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",loose screws,1355443200
4,TRUE,"12 25, 2009",A2VR6SWVSF6K4,B0017LD0BM,C. Schmitt,"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",Good Value,1261699200
3,TRUE,"07 12, 2015",A1Z8U8IPBLBEU5,B0017LGD34,Seth Hanson,Not pretty for fashion but great around the house and work.,Three Stars,1436659200
2,TRUE,"05 21, 2015",A36GNVEQP92OPA,B0017LGD34,Peter B. Thorp,"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",Huh,1432166400
4,TRUE,"12 29, 2014",A33GD4H5O1MK6S,B0017LGD34,phil bensinger,Excellent value,excellent value and quality,1419811200
3,TRUE,"12 14, 2012",A12DWXDNZQTKXQ,B0017LGD34,TDL Chicago,"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",loose screws,1355443200
4,TRUE,"12 25, 2009",A2VR6SWVSF6K4,B0017LGD34,C. Schmitt,"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",Good Value,1261699200
4,TRUE,"04 19, 2016",A3UMNRR89DIZRM,B001IKJOLW,Amazon Customer,Good light weight shoe...had to add insole for more support.,Four Stars,1461024000
5,TRUE,"04 18, 2016",AZRZ2FB7CFNOE,B001IKJOLW,Catherine Uribe,I love my tennis shoes,Five Stars,1460937600
